Date,Ford ,GM
1/1/2005,174968,213931
2/1/2005,156003,190165
3/1/2005,145070,198088
4/1/2005,177840,215534
5/1/2005,144984,198960
6/1/2005,156917,210246
7/1/2005,141633,182393
8/1/2005,157062,189370
9/1/2005,162819,182357
10/1/2005,151182,190371
11/1/2005,150200,190371
12/1/2005,175942,197693
1/1/2006,158500,184174
2/1/2006,128229,163622
3/1/2006,142445,163622
4/1/2006,172257,149030
5/1/2006,157417,146405
6/1/2006,174464,146405
7/1/2006,155384,150298
8/1/2006,123343,144732
9/1/2006,118917,162479
10/1/2006,114676,219659
11/1/2006,160520,222924
12/1/2006,197063,231805
1/1/2007,213270,230765
2/1/2007,162834,242071
3/1/2007,142577,223390
4/1/2007,207951,296938
5/1/2007,148816,213421
6/1/2007,181820,259817
7/1/2007,185405,224210
8/1/2007,171144,206973
9/1/2007,192536,232833
10/1/2007,181572,206204
11/1/2007,172928,196377
12/1/2007,77815,88377
1/1/2008,131072,157005
2/1/2008,216395,255217
3/1/2008,167146,200218
4/1/2008,197144,241922
5/1/2008,204431,250203
6/1/2008,197153,241882
7/1/2008,174317,223125
8/1/2008,212214,271627
9/1/2008,189476,242527
10/1/2008,187511,223647
11/1/2008,241889,267851
12/1/2008,209639,242199
1/1/2009,208523,236314
2/1/2009,185353,210055
3/1/2009,188882,218813
4/1/2009,219632,264721
5/1/2009,195255,254515
6/1/2009,191682,265186
7/1/2009,196496,228265
8/1/2009,217700,246296
9/1/2009,192743,218930
10/1/2009,229537,252139
11/1/2009,241527,245002
12/1/2009,208109,244732
1/1/2010,243021,296341
2/1/2010,194062,220905
3/1/2010,160411,197710
4/1/2010,240910,306968
5/1/2010,210205,244073
6/1/2010,199698,250817
7/1/2010,221643,277870
8/1/2010,209029,274361
9/1/2010,199318,225129
10/1/2010,227166,241898
11/1/2010,240250,236020
12/1/2010,213436,243285
1/1/2011,234895,255010
2/1/2011,207464,236376
3/1/2011,171186,194930
4/1/2011,237785,317024
5/1/2011,196441,251249
6/1/2011,187692,257173
7/1/2011,203444,248142
8/1/2011,213410,255259
9/1/2011,215268,266078
10/1/2011,239096,254029
11/1/2011,234748,236644
12/1/2011,229739,258054
1/1/2012,253064,250864
2/1/2012,216792,226778
3/1/2012,172398,204970
4/1/2012,237606,288314
5/1/2012,186822,227987
6/1/2012,213103,261680
7/1/2012,221261,250129
8/1/2012,233879,269170
9/1/2012,222009,271551
10/1/2012,224671,258091
11/1/2012,250077,292053
12/1/2012,221603,267764
1/1/2013,234774,248790
2/1/2013,179648,230490
3/1/2013,177382,201686
4/1/2013,219225,273024
5/1/2013,186255,224690
6/1/2013,187809,226066
7/1/2013,179335,222209
8/1/2013,221024,271166
9/1/2013,210519,254643
10/1/2013,219741,266403
11/1/2013,249574,283848
12/1/2013,207700,253628
1/1/2014,241475,255539
2/1/2014,181996,221610
3/1/2014,152292,171105
4/1/2014,214504,229382
5/1/2014,187642,211409
6/1/2014,189554,225524
7/1/2014,183176,186561
8/1/2014,219574,275080
9/1/2014,192212,233110
10/1/2014,233538,264176
11/1/2014,242860,252199
12/1/2014,208787,237027
1/1/2015,233409,245204
2/1/2015,193462,222832
3/1/2015,164777,194181
4/1/2015,210876,244706
5/1/2015,175880,185812
6/1/2015,166957,195096
7/1/2015,172359,209650
8/1/2015,195808,239598
